image,label,reason,id,output
0a856d3d-6939-4a3b-b80c-46ff0ddb324d-461-0,下单过程中出现异常（显示购买失败浮窗）,未开通”消费者保障“服务导致交易失败，属于下单过程中出现的异常,0a856d3d-6939-4a3b-b80c-46ff0ddb324d-461,下单过程中出现异常（显示购买失败浮窗）
05cf135a-1e77-425e-8866-5c2f5ebc8995-420-0,,显示购买失败浮窗,05cf135a-1e77-425e-8866-5c2f5ebc8995-420,下单过程中出现异常（显示购买失败浮窗）
5e0efa32-56bc-4067-8245-db55fa9098af-479-0,,显示购买失败浮窗,5e0efa32-56bc-4067-8245-db55fa9098af-479,下单过程中出现异常（显示购买失败浮窗）
5f05bd4f-78cb-47ef-9798-5aab5b0f53c0-478-0,,支付宝帐号未绑定浮窗，属于下单过程中出现异常,5f05bd4f-78cb-47ef-9798-5aab5b0f53c0-478,下单过程中出现异常（显示购买失败浮窗）
6a3b12e4-1bfe-445a-93de-8641458ead76-480-0,,显示购买失败浮窗,6a3b12e4-1bfe-445a-93de-8641458ead76-480,下单过程中出现异常（显示购买失败浮窗）
6d676a06-b79a-4e55-a946-70d978aa9065-462-0,,显示购买失败浮窗,6d676a06-b79a-4e55-a946-70d978aa9065-462,下单过程中出现异常（显示购买失败浮窗）
9ae9adce-d6ff-4ba4-aad4-bcd10f962a95-411-0,,显示购买失败浮窗,9ae9adce-d6ff-4ba4-aad4-bcd10f962a95-411,下单过程中出现异常（显示购买失败浮窗）
9cacdc26-b333-4cc5-a4be-f3d08f9dcebf-497-0,,超过限购数量，无法购买，属于下单过程出现的异常,9cacdc26-b333-4cc5-a4be-f3d08f9dcebf-497,下单过程中出现异常（显示购买失败浮窗）
781f5a70-68aa-433a-b801-7e9fd894444a-494-0,,显示购买失败浮窗,781f5a70-68aa-433a-b801-7e9fd894444a-494,下单过程中出现异常（显示购买失败浮窗）
5161f375-eea7-4b10-9242-144c68739726-417-0,,待下单页面出现信用评分不通过，属于下单过程中出现的异常,5161f375-eea7-4b10-9242-144c68739726-417,下单过程中出现异常（显示购买失败浮窗）
5236d779-2648-4e8f-8778-af2513c7a0d2-404-0,,显示购买失败浮窗,5236d779-2648-4e8f-8778-af2513c7a0d2-404,下单过程中出现异常（显示购买失败浮窗）
7986f134-c6b5-454b-8ff7-e82d08472da6-439-0,,商品限购，不可购买，属于下单过程中出现的异常,7986f134-c6b5-454b-8ff7-e82d08472da6-439,下单过程中出现异常（显示购买失败浮窗）
77558b8e-e7b3-470b-9d99-545268f8b0b7-409-0,,显示购买失败浮窗,77558b8e-e7b3-470b-9d99-545268f8b0b7-409,下单过程中出现异常（显示购买失败浮窗）
77558b8e-e7b3-470b-9d99-545268f8b0b7-409-0,,显示购买失败浮窗,77558b8e-e7b3-470b-9d99-545268f8b0b7-409,下单过程中出现异常（显示购买失败浮窗）
