label,description
反馈密封性不好,买家反馈商品密封性差会漏
是否好用,买家咨询商品是否好用
是否会生锈,咨询商品是否会生锈
排水方式,（适用产品：洗衣机、热水器）咨询商品排水方式
包装区别,咨询商品不同包装的区别
发货数量,咨询商品发货数量
反馈用后症状,买家反馈用完后引起的人体反应
商品材质,咨询商品具体材质，配件材质，填充物
功效功能,咨询商品功效功能
是否易褪色,咨询商品是否易褪色
适用季节,咨询商品适用季节
能否调光,咨询商品光源/灯光/光线/亮度是否可调
版本款型区别,咨询两个版本/型号/款式/类型/套装/组合等区别，不包括商品数量/重量/尺寸类区别
单品推荐,消费者咨询能否帮助推荐一下某类/某个商品，非sku级别
用法用量,咨询商品使用方法/步骤/顺序，包括但不限于用量，使用时间，使用部位
控制方式,咨询商品如何控制，能否可以通过手机/电脑控制
上市时间,咨询商品的上市时间
商品规格,咨询商品的数量、重量、含量、容量
信号情况,咨询手机使用的信号是否良好，以及信号不佳如何处理
养护方法,咨询商品的养护方法
套装推荐,消费者希望能推荐一些套装
何时上货,咨询补货/上货时间
气泡,咨询贴膜如何避免产生气泡及除气泡方法
